지정상품(국문),NICE분류,유사군코드,지정상품(영문),
가성소다(수산화나트륨) 판매알선업,35,S2010,Sales arranging of caustic soda (sodium hydroxide),
가성알칼리 판매알선업,35,S2010,Sales arranging of caustic alkali,
가성칼리 판매알선업,35,S2010,Sales arranging of caustic potash,
가성칼리(수산화칼륨) 판매알선업,35,S2010,Sales arranging of caustic potash (potassium hydroxide),
가소제(可塑劑) 판매알선업,35,S2010,Sales arranging of plasticizers,
가솔린용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical additives for gasoline,
가솔린용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical additives for petrol,
가솔린용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical gasoline additives,
가스정화제 판매알선업,35,S2010,Sales arranging of gas purifying preparations,
가스정화제 판매알선업,35,S2010,Sales arranging of preparations for the purification of gas,
가스제거제 판매알선업,35,S2010,Sales arranging of degassing agents,
가시광촉매제 판매알선업,35,S2010,Sales arranging of visible ray catalysts,
가압부상용 응집제 판매알선업,35,S2010,Sales arranging of flocculants for pressure flotation,
가죽무두질용 알가로빌라 판매알선업,35,S2010,Sales arranging of algarovilla (tanning material),
가죽무두질용 옻나무 판매알선업,35,S2010,Sales arranging of sumac for use in tanning,
가죽무두질용 효소 판매알선업,35,S2010,Sales arranging of enzymes for use in the tanning of leather,
가죽무두질제 판매알선업,35,S2010,Sales arranging of currying preparations for leather,
가죽무두질제 판매알선업,35,S2010,Sales arranging of tanning substances,
가황(加黃)촉진제 판매알선업,35,S2010,Sales arranging of vulcanisation accelerators [chemical preparation],
가황(加黃)촉진제 판매알선업,35,S2010,Sales arranging of vulcanization accelerators,
가황제(加黃劑) 판매알선업,35,S2010,Sales arranging of vulcanizing preparations,
가황지연제 판매알선업,35,S2010,Sales arranging of vulcanization retarders,
갈로탄산 판매알선업,35,S2010,Sales arranging of gallotannic acid,
갈바니전지용 염 판매알선업,35,S2010,Sales arranging of salts for galvanic cells,
갈바니전지용 염 판매알선업,35,S2010,Sales arranging of salts for galvanic batteries,
감수제 판매알선업,35,S2010,Sales arranging of water reducing agent,
감홍(염화제1수은) 판매알선업,35,S2010,Sales arranging of calomel [mercurous chloride],
강철/철 및 다양한 색상 금속의 스테인레스 합금 중화용 화학제품 판매알선업,35,S2010,"Sales arranging of chemical product for neutralizing stainless alloys of steel, iron and metals of various colors",
갬비어 판매알선업,35,S2010,Sales arranging of gambier,
건강기능식품제제용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical additives for health functional food,
건물화재예방용 벽/바닥 및 천장관통 화학제 판매알선업,35,S2010,"Sales arranging of chemical preparations which penetrate through walls, floors and ceilings used for fire prevention in buildings",
건조제 판매알선업,35,S2010,Sales arranging of desiccants,
건축용 비금속제 고화제(固化劑) 판매알선업,35,S2010,Sales arranging of solidification agent for construction (not of metal),
건축용 비금속제 수경(水硬)바인더 판매알선업,35,S2010,Sales arranging of hydraulic binders for construction (not of metal),
건축용 비금속제 콘크리트혼화제 판매알선업,35,S2010,Sales arranging of concrete admixture for construction (not of metal),
건축재용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical additives for building material,
게터(화학적인 활성물질) 판매알선업,35,S2010,Sales arranging of getters [chemically active substances],
결빙방지제 판매알선업,35,S2010,Sales arranging of antifreeze substances,
경수연화용 소금 판매알선업,35,S2010,Sales arranging of salt for water softening,
경수연화용 화학제 판매알선업,35,S2010,Sales arranging of chemicals for water softening,
경수연화제(硬水軟化劑) 판매알선업,35,S2010,Sales arranging of water-softening preparations,
경주마 사료 제조용 미가공 단백질 판매알선업,35,S2010,Sales arranging of protein (raw material) for producing racehorse feed,
경주마 사료 제조용 미가공 펩티드 판매알선업,35,S2010,Sales arranging of peptides (raw material) for producing racehorse feed,
경화제 판매알선업,35,S2010,Sales arranging of hardening preparations,
계면활성 화합물 판매알선업,35,S2010,Sales arranging of surface-active compounds,
계면활성제 판매알선업,35,S2010,Sales arranging of surface-active chemical agents,
계면활성제 판매알선업,35,S2010,Sales arranging of tensio-active agents,
고급지방산 판매알선업,35,S2010,Sales arranging of higher fatty acids,
고무강화제 판매알선업,35,S2010,Sales arranging of chemical intensifiers for rubber,
고무보존제 판매알선업,35,S2010,Sales arranging of rubber preservatives,
고무용 처리제 판매알선업,35,S2010,Sales arranging of preparations for handling rubber,
고무용제 판매알선업,35,S2010,Sales arranging of gum solvents,
고무제조용 촉매제 판매알선업,35,S2010,Sales arranging of catalysts for use in the manufacture of rubber,
고무질제거제 판매알선업,35,S2010,Sales arranging of degumming preparations,
고엽제 판매알선업,35,S2010,Sales arranging of defoliants,
고체/액체 또는 기체 형태의 냉동제 판매알선업,35,S2010,"Sales arranging of cryogenic preparations in solid, liquid or gas form",
고형사료 응고제용 화학첨가제 판매알선업,35,S2010,Sales arranging of chemical additives for use as binding agents for feed pellets,
고형화된 용접용 보호가스 판매알선업,35,S2010,Sales arranging of solidified protective gases for welding,
골탄(骨炭) 판매알선업,35,S2010,Sales arranging of bone charcoal,
곰팡이 성장방지용 곰팡이 방지제 판매알선업,35,S2010,Sales arranging of mould inhibitors for preventing growth of mould,
곰팡이예방제 판매알선업,35,S2010,Sales arranging of chemical preparations to prevent mildew,
공기연행제 판매알선업,35,S2010,Sales arranging of air entraining agents,
공기촉매코팅제 판매알선업,35,S2010,Sales arranging of coating agents for air catalyst,
공업용 가성소다 판매알선업,35,S2010,Sales arranging of caustic soda for industrial purposes,
공업용 가열처리촉진제 판매알선업,35,S2010,Sales arranging of preparations for stimulating cooking for industrial purposes,
공업용 갈락토오스 판매알선업,35,S2010,Sales arranging of galactose for industrial purposes,
공업용 강화제 판매알선업,35,S2010,Sales arranging of stiffening agents for industrial purposes,
공업용 결합제 판매알선업,35,S2010,Sales arranging of binding agents for industrial purposes,
공업용 경화제 판매알선업,35,S2010,Sales arranging of hardening preparations for industrial purposes,
공업용 계면활성제 판매알선업,35,S2010,Sales arranging of surfactants for industrial purposes,
공업용 고화(固化)가스 판매알선업,35,S2010,Sales arranging of solidified gases for industrial purposes,
공업용 과산화수소 판매알선업,35,S2010,Sales arranging of hydrogen peroxide for industrial purposes,
공업용 구연산 판매알선업,35,S2010,Sales arranging of citric acid for industrial purposes,
공업용 귀금속염 판매알선업,35,S2010,Sales arranging of salts of precious metals for industrial purposes,
공업용 규산알루미늄 판매알선업,35,S2010,Sales arranging of aluminium silicate (non-crystalline) for industrial purposes,
공업용 글로불린 판매알선업,35,S2010,Sales arranging of globulin for industrial purposes,
공업용 글루텐 판매알선업,35,S2010,Sales arranging of gluten for industrial purposes,
공업용 글루텔린 판매알선업,35,S2010,Sales arranging of glutelin for industrial purposes,
공업용 글리세린 판매알선업,35,S2010,Sales arranging of glycerine for industrial purposes,
공업용 글리아딘 판매알선업,35,S2010,Sales arranging of gliadin for industrial purposes,
공업용 금속비누 판매알선업,35,S2010,Sales arranging of soap [metallic] for industrial purposes,
공업용 금속산화물합성물 판매알선업,35,S2010,Sales arranging of amorphous metal oxide composite for industrial use,
공업용 냉동고 서리방지용 코팅제 판매알선업,35,S2010,Sales arranging of coating agents to defrost freezers for industrial purposes,
공업용 냉매파이프 서리방지용 코팅제 판매알선업,35,S2010,Sales arranging of coating agents to defrost refrigerant pipes for industrial purposes,
공업용 녹 방지제(화학첨가제) 판매알선업,35,S2010,Sales arranging of antirust preparations (chemical additives) for industrial purposes,
공업용 단백질 판매알선업,35,S2010,Sales arranging of protein for industrial use,
공업용 덱스트린 판매알선업,35,S2010,Sales arranging of dextrin for industrial purposes,
공업용 덱스트린 판매알선업,35,S2010,Sales arranging of dextrins for industrial purposes,
